proto,service,state,duration,src_bytes,dst_bytes,packet_count,flow_rate,ttl,syn_flag,ack_flag,fin_flag,error_rate,connection_count,jitter,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,attack_cat
icmp,other,REQ,-1.2536628527381548,39.1030808669042,840.5802833611114,21.0,52.43550996046476,115,0,1,0,0.18368702957337216,7,0.028484900684191905,1.2731800767773067,0.8009337286484762,1.8419951069690124,2.2748793574677397,0.8881154987734006,0.7464684230610144,1.8575017778666607,1.5011267309488672,1.004101635187482,0.30835065643415094,0.8062504154883703,2.3358523901815764,2.007391312564046,2.2534773210506427,1.0167749807589812,1.5357862309815862,2.1063689889983177,0.787103810566427,1.7506480254106003,0.6798904865988975,0.41295359481000155,2.1173656186145946,1.6232766436210204,1.4763115493870023,0.6756830173280041,0.20436433826695855,0.5590171070496419,2.324049994750306,2.143503892912374,0.1739803635055527,0.2165051846404245,0.1955331935854258,0.24014021943144273,2.2581760642607,0.9583708742393697,Normal
icmp,other,CON,0.9551049941544791,128.03190178986796,211.550514131099,22.0,71.09335780625973,103,1,1,0,0.4858218073327586,5,0.6477728163512788,1.4624160028806246,0.8283532211806399,0.8602569601551493,0.7651623049600391,0.8378590467087976,1.987714271397265,1.8326628028552585,1.9675473705971005,1.9833369615835044,1.5768038984603592,0.65792997322995,0.7370969160642458,0.2711830648865732,0.714862727372496,0.3182580523698001,0.43452868489852897,0.17115945408957323,1.9199762232053605,0.7343390903927,1.6443668462148897,1.3194561182281854,1.158807916385971,0.9358211056831817,1.819351462437068,0.08687793315369785,1.0793433654397286,1.2068392101277754,1.3691143197150155,1.724440358229152,1.1102235754328422,0.3069527623382128,1.9381866681126814,0.12801461796798907,0.8375500644357594,1.1729707029782037,Exploits
icmp,http,FIN,4.539742297806929,22.310079259446326,918.5240442973941,26.4,70.64973918082208,87,0,0,0,0.07672386983183133,6,0.09250129213332114,1.318749713794014,1.9767550336858681,0.4525882658933872,1.069987865084867,0.7371471455155214,1.170275302911939,0.8969040193060348,2.2903326206850787,1.4992379593606562,0.24888947253719088,1.6633816436202453,1.9400885720704568,1.0877387470530606,1.071814921052739,0.002182949954605574,1.7660530394495662,1.2886937657355144,1.598544587608399,0.8913526442483313,1.2535380349532408,2.187894538819461,2.065248928159125,1.7374956125688905,1.286034326945948,2.4161851907105216,0.394389167150346,0.6635743098591671,2.4089978722880665,1.571146811388134,0.6440656765849918,1.6465228803249208,1.8504888031264846,2.3472997510933844,0.16489925979957568,0.5408120795491494,Generic
icmp,dhcp,RST,4.033193958963713,114.62289109326343,362.1111933236349,23.0,56.26209000589425,87,1,0,0,0.14043580266538455,4,0.37173649175373963,1.9408001488029478,1.3640312940291752,1.5036380197751822,1.7326970439494072,0.5882675816935883,1.9999098073465178,0.36230961923820554,1.4740452899157845,0.29720070254294817,1.1275547184505623,2.05957028792387,0.3160888362286253,0.6338095464630101,1.6134916019986008,0.8600119746104049,0.2990603304782903,0.9157401730685587,0.6027143171088184,1.4090645548463172,0.5001909057554784,1.3140631627986274,1.868092331808102,0.2543009523434027,0.11596297325308517,0.20684697676008076,0.7686696593875476,0.41300514252042936,1.9416590966896672,1.7897101031911578,0.7281537946595804,0.06798440283416284,1.115265225043183,1.1312449949233279,1.7531505757310388,1.5967021770315257,Normal
icmp,http,FIN,-1.6899370795452602,109.73245040663485,2140.1262337496946,15.0,29.773729332555632,35,1,1,0,0.12041669711187451,4,0.3039091012111493,2.3833209346572493,1.4172199242312058,1.6988318056024712,2.6140274265962438,1.523388346413412,2.169844788939111,0.4518798829665875,0.27797725054162226,1.6988294909365216,2.0309803457716344,1.1489749435977992,1.2932954833959023,2.257580657221961,1.6792921087994033,1.099535193206521,0.24731656624821705,1.3516999602576258,2.568413107061724,0.418829131626881,1.0596622658611758,1.8261020406148312,0.5971377787755485,2.4071206827288334,2.448522465848568,2.6680825061489726,1.5021123416183328,2.354412568527677,2.0322160316134488,1.4996046159902097,2.386437130021073,2.1064699796826085,0.319160779178949,1.4851997407424022,0.0018836006016705472,0.13531090027501966,Normal
icmp,dns,RST,-0.35804430460358816,16.781331026865054,481.0259629957849,16.0,33.19807597684042,45,0,0,0,0.22316062668295555,13,0.46811222210309444,0.22406313897246122,1.4461237890111,2.139234473459923,0.40061490189040655,0.6732087705479604,2.068966025253989,0.18560923499086096,1.2491511017880228,1.78281416131891,1.4203126711673468,1.606309339463497,0.7794011311673827,0.05030697856943468,0.2821137999538797,2.2654921042464737,2.2625268013306816,0.7617343700002118,0.1895894962799604,1.2243543761431228,0.9705477675712307,0.9707692936583708,0.5357059818181459,2.24554198117906,0.8177553199943108,0.22253446944255642,0.30701335723957823,0.025109851909347704,0.925601574902236,0.17075540458702132,0.072099115419146,1.298751103053914,0.3414297175654354,2.2416273204978134,0.8519958048314008,0.1256539485430525,Reconnaissance
udp,ssh,CON,1.1990034496262256,103.91472199766048,301.8791545738651,19.0,6.4062030484578365,82,0,0,0,0.10447068460111397,5,0.977855568154826,1.8207995226618776,0.33774550240527734,0.47379776311994726,0.5168439866781199,0.7947686364215463,0.1347317120578258,1.1083521765900117,0.7793878775314164,1.4253020897030961,0.9416357366467079,0.959654345479353,1.0097797432581666,1.1970754266088985,1.1820239912043444,1.864097020313322,0.26748512355188453,1.2918262887224872,0.6146190051980014,0.9099599932986504,0.6163524940122493,0.016485989480364508,1.2750921724242914,0.7816083210771266,0.5793842262015738,0.7857931596266458,0.12159931022039465,1.5899373806650205,0.625953344596373,0.7075110876302158,1.6740017036255797,1.4972151804458809,1.4202988684839715,0.6538524520167887,1.1775737129838049,0.3308827873811457,Exploits
tcp,dns,INT,6.389931534858121,75.6622238498158,868.5236786746713,13.0,64.76464669292184,71,1,1,0,0.0533719229345514,3,0.19809112864688444,0.39692810661870115,1.1744809259474909,0.7729058164267557,1.4839260842567954,0.8849149374713013,1.2946373743417874,0.04285530179024676,0.07239559909750981,0.1051014441650419,0.3246432696142331,0.6352175357011902,1.547736743486859,0.9650419030512741,0.05174594460438685,1.0715402563140002,0.22792736691130583,0.010143391130232757,0.45035515552290767,1.4056628012838195,0.5036127185972505,0.7785142416622954,0.41100479446705696,0.9494278069111286,0.5191808064985484,1.2168033183969589,1.1598129301395057,0.21474589143081732,1.4421852893293317,1.2196790559945239,0.013406458582957881,0.03350578282079824,0.6216269755625056,0.7110632352697805,0.9238872755228907,0.7827942003127695,Normal
udp,dns,FIN,1.058691644950925,555.3335446090398,132.94790600455443,22.0,84.58897100928107,32,0,0,1,0.5242460424314543,1,0.4712753544094059,0.7340086860777943,0.10128402184752747,0.7853031713785278,0.5563531941672417,0.7817080757893603,0.6809884841380027,0.2603801050588632,1.1517629221737153,0.5399064613202804,0.9426522662816482,1.1980719669749318,0.3242975783232879,0.11404417825784506,1.1256151999471902,0.42070110702744484,1.4626337238040776,0.9279924550692762,0.9643931605538454,0.5201851714178986,1.0780925507824248,1.0272976869743702,1.3834267112970444,0.9756721767112797,1.258224556307051,0.4072059602932146,1.2200959332289139,0.00730707815995326,0.8861711402347738,0.5467335197426776,0.5213147037472587,0.36911029378298904,0.5720388497067523,0.06542126484791254,0.6720575426036915,1.22333243267561,Fuzzers
icmp,dhcp,CON,3.458269416972781,843.8904834361463,28.876747023861892,21.0,16.179407773817555,51,0,1,0,0.5313589967994721,12,0.7807411365007098,0.3543624063812727,1.0577529406376367,0.5394777584480596,0.6089015964379355,0.8602675478882393,1.1183157729525721,0.16640592189624104,0.8343904813856564,0.3845472346631445,0.3829219804015276,0.8788940890851534,0.8652537075679676,1.0144618614245922,0.22073245044147424,0.8870863751042649,0.01806433808968617,1.1422013798024808,0.15689920100322008,0.5035280448616319,0.7063760383033577,1.0010866479168252,0.4809954732405691,0.1758788030491488,0.05304762718620635,0.27246820227364765,0.5770156723421177,0.7580569914226671,0.09096136373900363,0.5270152484109024,0.7612468248865639,1.0485277288021333,0.2767616918662559,0.872189043346109,1.110840869009937,1.0687307748661097,Reconnaissance
